UserId:ItemId,Prediction,Timestamp
u0002768:i1549920,5,1362103809
u0002768:i1772341,8,1362268026
u0002768:i1623205,6,1362756191
u0002768:i1966604,7,1362882030
u0002768:i0337692,6,1362929540
u0002768:i0068646,10,1362969168
u0002768:i0071562,10,1362969221
u0002768:i1321870,5,1363143702
u0002768:i1659337,9,1363223506
u0002768:i0481499,8,1363910264
u0002768:i1235522,5,1363919167
u0002768:i2059255,8,1364008238
u0002768:i1613750,7,1364772264
u0002768:i2023587,4,1365126403
u0002768:i1440345,6,1365223420
u0002768:i1931533,7,1365285400
u0002768:i1509767,1,1365285438
u0002768:i0064115,9,1365374019
u0002768:i0070735,8,1365382560
u0002768:i1276419,9,1365992063
u0002768:i2275671,0,1366082356
u0002768:i2062575,3,1366339410
u0002768:i2302755,4,1367200545
u0002768:i1817273,6,1367200578
u0002768:i0907657,9,1367260350
u0002768:i0401383,8,1367377100
u0002768:i0056217,9,1367778233
u0002768:i1351685,3,1368152322
u0002768:i0049730,10,136823647
u0002768:i1408101,8,1368585949
u0002768:i1381404,6,1369595587
u0002768:i1924429,6,1370399561
u0002768:i1815862,4,1370563967
u0002768:i0770828,8,1371174547
u0002768:i0074958,10,1371342293
u0002768:i1980209,7,1371824792
u0002768:i1808240,8,1371921304
u0002768:i0395125,7,1371921327
u0002768:i0292886,7,1371921346
u0002768:i0112922,8,1371921364
u0002768:i1682180,7,1371957327
u0002768:i1758692,7,1371962672
u0002768:i1453405,5,1372118720
u0002768:i0210843,7,1372302542
u0002768:i0816711,5,1372464460
u0002768:i0052311,8,1372607836
u0002768:i1690953,8,1372984371
u0002768:i1670345,5,1372994323
u0002768:i1748122,9,1373155982
u0002768:i1663662,7,1373636691
u0002768:i1210819,3,1374200040
u0002768:i0109424,8,1374364087
u0002768:i1764234,8,1374377203
u0002768:i1430132,4,1374842146
u0002768:i2368749,8,1374893676
u0002768:i2101441,5,1375656056
u0002768:i1272878,5,1378432557
u0002768:i1821694,3,1378440882
u0002768:i2184339,6,1378692797
u0002768:i1935179,8,1378692821
u0002768:i0986233,9,1379186761
u0002768:i2357129,4,1380677733
u0002768:i1964624,8,1380687118
u0002768:i1535108,6,1381012598
u0002768:i1454468,10,1381275100
u0002768:i1758830,8,1382825489
u0002768:i1308729,1,1382834501
u0002768:i2404311,4,1383878304
u0002768:i2209418,8,1384744282
u0002768:i1981115,4,1384828448
u0002768:i0073195,5,1385003568
u0002768:i1951264,7,1385402138
u0002768:i0079522,8,1385824990
u0002768:i1411250,2,1386446709
u0002768:i2125608,8,1386453933
u0002768:i1170358,8,1387670589
u0002768:i1327773,7,1387670638
u0002768:i2334649,8,1387718892
u0002768:i2364841,2,1387755096
u0002768:i1800241,8,1388033303
u0002768:i1335975,5,1388634880
u0002768:i2473682,6,1388953451
u0002768:i0993846,9,1389403730
u0002768:i2334873,9,1390187384
u0002768:i1798709,9,1390695257
u0002768:i2140373,7,1390703290
u0002768:i1821549,8,1392088111
u0002768:i1091191,7,1393121797
u0002768:i2024519,7,1393733877
u0002768:i1937390,8,1395530832
u0002768:i2896036,8,1398534344
u0002768:i0082085,7,1398534378
u0002768:i2309224,7,1398542322
u0002768:i2396566,8,1398611020
u0002768:i1563738,6,1398619385
u0002768:i2380247,8,1398829040
u0002768:i1877832,8,1400819896
u0002768:i1587310,7,1401758859
u0002768:i1196948,3,1402664127
u0002768:i0340377,8,1402674231
u0002768:i1631867,8,1402795207
u0002768:i2294449,4,1403215730
u0002768:i1065073,9,1403275012
u0002768:i2852406,8,1403283087
u0002768:i2370248,7,1403639062
u0002768:i2377322,5,1404621092
u0002768:i2103281,8,1405540783
u0002768:i2312718,5,1405561905
u0002768:i2205904,7,1405971871
u0002768:i2150332,7,1406064762
u0002768:i1760980,7,1406299274
u0002768:i2382298,9,1406744343
u0002768:i2106361,5,1407648051
u0002768:i1267297,4,1407962015
u0002768:i1291150,5,1407966072
u0002768:i2883512,7,1408308377
u0002768:i2692904,8,1408368132
u0002768:i1932718,5,1408817348
u0002768:i0114660,6,1409083342
u0002768:i0458481,4,1409374239
u0002768:i2333784,4,1409699102
u0002768:i2752200,8,1409779817
u0002768:i2359024,7,1409779834
u0002768:i0110057,10,1411093038
u0002768:i2582846,7,1411419792
u0002768:i2402157,4,1411420167
u0002768:i2343793,4,1411504230
u0002768:i2267998,9,1412401025
u0002768:i2911666,2,1414345462
u0002768:i0816692,9,1415588791
u0002768:i2872718,8,1415588814
u0002768:i2788710,6,1419548284
u0002768:i3179568,10,1419803820
u0002765:i3179568,5,1419803820
u0002765:i2911666,1,1419803820
u0002765:i3253930,8,1419803820
u0002768:i2717822,3,1421440612
u0002768:i2980516,8,1421521779
u0027049:i3253930,8,1412800042
u0015385:i3253930,8,1414571661
u0002764:i3179568,5,1419803820
u0002764:i2911666,2,1419803820
u0002764:i3253930,9,1419803820
